172.20.59.6 - - [23/Mar/2017:10:00:57 +0800] "GET /ssh_EShop/TicketMng.html HTTP/1.1" 404 1048
172.20.59.6 - - [23/Mar/2017:10:00:57 +0800] "GET /ssh_EShop/User_bookingTicket.action?user.id= HTTP/1.1" 200 5997
172.20.59.33 - - [23/Mar/2017:10:00:57 +0800] "POST /ssh_EShop/User_tologin.action HTTP/1.1" 200 506
172.20.59.33 - - [23/Mar/2017:10:00:57 +0800] "GET /ssh_EShop/css/img/body1.jpg HTTP/1.1" 404 1054
172.20.59.6 - - [23/Mar/2017:10:00:57 +0800] "GET /ssh_EShop/TicketMng.html HTTP/1.1" 404 1048
172.20.59.33 - - [23/Mar/2017:10:00:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1022
172.20.59.33 - - [23/Mar/2017:10:00:57 +0800] "GET /ssh_EShop/User_login HTTP/1.1" 200 1289
172.20.59.6 - - [23/Mar/2017:10:00:57 +0800] "GET /ssh_EShop/User_bookingTicket.action?user.id= HTTP/1.1" 200 5997
172.20.59.33 - - [23/Mar/2017:10:00:57 +0800] "GET /ssh_EShop/images/icon-lock.jpg HTTP/1.1" 404 1060
172.20.59.33 - - [23/Mar/2017:10:00:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1022
172.20.59.6 - - [23/Mar/2017:10:00:58 +0800] "GET /ssh_EShop/TicketMng.html HTTP/1.1" 404 1048
172.20.59.6 - - [23/Mar/2017:10:00:58 +0800] "GET /ssh_EShop/User_bookingTicket.action?user.id= HTTP/1.1" 200 5997
172.20.59.6 - - [23/Mar/2017:10:00:58 +0800] "GET /ssh_EShop/TicketMng.html HTTP/1.1" 404 1048
172.20.59.6 - - [23/Mar/2017:10:00:58 +0800] "GET /ssh_EShop/User_bookingTicket.action?user.id= HTTP/1.1" 200 5997
172.20.59.6 - - [23/Mar/2017:10:00:59 +0800] "GET /ssh_EShop/TicketMng.html HTTP/1.1" 404 1048
172.20.59.6 - - [23/Mar/2017:10:00:59 +0800] "GET /ssh_EShop/User_bookingTicket.action?user.id= HTTP/1.1" 200 5997
172.20.59.6 - - [23/Mar/2017:10:00:59 +0800] "GET /ssh_EShop/TicketMng.html HTTP/1.1" 404 1048
172.20.59.6 - - [23/Mar/2017:10:00:59 +0800] "GET /ssh_EShop/User_bookingTicket.action?user.id= HTTP/1.1" 200 5997
172.20.59.6 - - [23/Mar/2017:10:01:00 +0800] "GET /ssh_EShop/TicketMng.html HTTP/1.1" 404 1048
172.20.59.6 - - [23/Mar/2017:10:01:00 +0800] "GET /ssh_EShop/User_bookingTicket.action?user.id= HTTP/1.1" 200 5997
172.20.59.6 - - [23/Mar/2017:10:01:00 +0800] "GET /ssh_EShop/TicketMng.html HTTP/1.1" 404 1048
172.20.59.6 - - [23/Mar/2017:10:01:00 +0800] "GET /ssh_EShop/User_bookingTicket.action?user.id= HTTP/1.1" 200 5997
172.20.59.6 - - [23/Mar/2017:10:01:01 +0800] "GET /ssh_EShop/TicketMng.html HTTP/1.1" 404 1048
172.20.59.6 - - [23/Mar/2017:10:01:01 +0800] "GET /ssh_EShop/User_bookingTicket.action?user.id= HTTP/1.1" 200 5997
